model,results_file,ft_notes,data_notes,hamming_loss,subset_acc,micro_prec,micro_rec,micro_f1,macro_prec,macro_rec,macro_f1,jaccard_index,hallucination_rate,num_empty,weak_classes,class_f1
ministral-3b-latest,results/batchinf_noft_3b_results.jsonl,no ft,,0.073,0.018,0.191,0.248,0.215,0.054,0.07,0.044,0.145,0.0,0,"[""A01"", ""A47"", ""A61"", ""A63"", ""B01"", ""B23"", ""B25"", ""B29"", ""B32"", ""B33"", ""B41"", ""B60"", ""B62"", ""B64"", ""B65"", ""C01"", ""C07"", ""C08"", ""C09"", ""C12"", ""C23"", ""E21"", ""F01"", ""F02"", ""F04"", ""F05"", ""F16"", ""F21"", ""F24"", ""G01"", ""G02"", ""G03"", ""G05"", ""G07"", ""G08"", ""G09"", ""G10"", ""G11"", ""G16"", ""H01"", ""H02"", ""H03"", ""H04"", ""H05"", ""H10"", ""Y02"", ""Y10""]","{""A01"": ""0.0"", ""A47"": ""0.0"", ""A61"": ""0.0"", ""A63"": ""0.0"", ""B01"": ""0.0"", ""B23"": ""0.0"", ""B25"": ""0.0"", ""B29"": ""0.0"", ""B32"": ""0.0"", ""B33"": ""0.0"", ""B41"": ""0.0"", ""B60"": ""0.0"", ""B62"": ""0.0"", ""B64"": ""0.0"", ""B65"": ""0.0"", ""C01"": ""0.0"", ""C07"": ""0.182"", ""C08"": ""0.0"", ""C09"": ""0.0"", ""C12"": ""0.25"", ""C23"": ""0.0"", ""E21"": ""0.0"", ""F01"": ""0.0"", ""F02"": ""0.0"", ""F04"": ""0.0"", ""F05"": ""0.0"", ""F16"": ""0.0"", ""F21"": ""0.0"", ""F24"": ""0.0"", ""G01"": ""0.041"", ""G02"": ""0.118"", ""G03"": ""0.0"", ""G05"": ""0.0"", ""G06"": ""0.506"", ""G07"": ""0.0"", ""G08"": ""0.0"", ""G09"": ""0.167"", ""G10"": ""0.0"", ""G11"": ""0.0"", ""G16"": ""0.0"", ""H01"": ""0.218"", ""H02"": ""0.143"", ""H03"": ""0.222"", ""H04"": ""0.0"", ""H05"": ""0.0"", ""H10"": ""0.0"", ""Y02"": ""0.255"", ""Y10"": ""0.0""}"
ministral-8b-latest,results/batchinf_noft_8b_results.jsonl,no ft,,0.075,0.004,0.213,0.315,0.254,0.155,0.168,0.131,0.174,0.0,0,"[""A01"", ""A47"", ""A61"", ""A63"", ""B01"", ""B23"", ""B25"", ""B29"", ""B32"", ""B33"", ""B41"", ""B60"", ""B62"", ""B64"", ""B65"", ""C01"", ""C07"", ""C09"", ""C23"", ""E21"", ""F01"", ""F02"", ""F04"", ""F05"", ""F16"", ""F21"", ""F24"", ""G01"", ""G02"", ""G03"", ""G05"", ""G06"", ""G07"", ""G08"", ""G09"", ""G10"", ""G11"", ""G16"", ""H01"", ""H02"", ""H03"", ""H04"", ""H05"", ""H10"", ""Y02"", ""Y10""]","{""A01"": ""0.4"", ""A47"": ""0.0"", ""A61"": ""0.417"", ""A63"": ""0.0"", ""B01"": ""0.25"", ""B23"": ""0.0"", ""B25"": ""0.0"", ""B29"": ""0.222"", ""B32"": ""0.0"", ""B33"": ""0.286"", ""B41"": ""0.0"", ""B60"": ""0.1"", ""B62"": ""0.0"", ""B64"": ""0.0"", ""B65"": ""0.4"", ""C01"": ""0.0"", ""C07"": ""0.308"", ""C08"": ""0.5"", ""C09"": ""0.308"", ""C12"": ""0.6"", ""C23"": ""0.0"", ""E21"": ""0.0"", ""F01"": ""0.0"", ""F02"": ""0.222"", ""F04"": ""0.364"", ""F05"": ""0.0"", ""F16"": ""0.421"", ""F21"": ""0.0"", ""F24"": ""0.167"", ""G01"": ""0.263"", ""G02"": ""0.0"", ""G03"": ""0.0"", ""G05"": ""0.0"", ""G06"": ""0.464"", ""G07"": ""0.0"", ""G08"": ""0.0"", ""G09"": ""0.0"", ""G10"": ""0.0"", ""G11"": ""0.0"", ""G16"": ""0.0"", ""H01"": ""0.24"", ""H02"": ""0.0"", ""H03"": ""0.0"", ""H04"": ""0.091"", ""H05"": ""0.0"", ""H10"": ""0.071"", ""Y02"": ""0.196"", ""Y10"": ""0.0""}"
mistral-small-latest,results/batchinf_noft_small_results.jsonl,no ft,,0.151,0.031,0.187,0.811,0.303,0.194,0.72,0.274,0.248,0.005,3,"[""A47"", ""B01"", ""B23"", ""B25"", ""B29"", ""B32"", ""B33"", ""B41"", ""B62"", ""B64"", ""B65"", ""C01"", ""C07"", ""C08"", ""C09"", ""C12"", ""C23"", ""F01"", ""F02"", ""F04"", ""F05"", ""F16"", ""F21"", ""F24"", ""G01"", ""G02"", ""G03"", ""G05"", ""G07"", ""G08"", ""G09"", ""G10"", ""G11"", ""G16"", ""H01"", ""H02"", ""H03"", ""H05"", ""H10"", ""Y02"", ""Y10""]","{""A01"": ""0.571"", ""A47"": ""0.308"", ""A61"": ""0.73"", ""A63"": ""0.571"", ""B01"": ""0.235"", ""B23"": ""0.4"", ""B25"": ""0.24"", ""B29"": ""0.133"", ""B32"": ""0.2"", ""B33"": ""0.037"", ""B41"": ""0.2"", ""B60"": ""0.553"", ""B62"": ""0.154"", ""B64"": ""0.308"", ""B65"": ""0.214"", ""C01"": ""0.308"", ""C07"": ""0.486"", ""C08"": ""0.233"", ""C09"": ""0.323"", ""C12"": ""0.333"", ""C23"": ""0.16"", ""E21"": ""0.667"", ""F01"": ""0.308"", ""F02"": ""0.353"", ""F04"": ""0.3"", ""F05"": ""0.0"", ""F16"": ""0.263"", ""F21"": ""0.235"", ""F24"": ""0.095"", ""G01"": ""0.338"", ""G02"": ""0.4"", ""G03"": ""0.214"", ""G05"": ""0.142"", ""G06"": ""0.533"", ""G07"": ""0.083"", ""G08"": ""0.053"", ""G09"": ""0.111"", ""G10"": ""0.222"", ""G11"": ""0.11"", ""G16"": ""0.111"", ""H01"": ""0.306"", ""H02"": ""0.242"", ""H03"": ""0.169"", ""H04"": ""0.517"", ""H05"": ""0.101"", ""H10"": ""0.327"", ""Y02"": ""0.273"", ""Y10"": ""0.0""}"
mistral-medium-latest,results/batchinf_noft_med_results.jsonl,no ft,,0.051,0.092,0.43,0.797,0.558,0.414,0.781,0.511,0.446,0.051,0,"[""B23"", ""B25"", ""B32"", ""B33"", ""B62"", ""C08"", ""C12"", ""C23"", ""F16"", ""F24"", ""G01"", ""G05"", ""G08"", ""G09"", ""G16"", ""H05"", ""H10"", ""Y02"", ""Y10""]","{""A01"": ""0.667"", ""A47"": ""0.727"", ""A61"": ""0.877"", ""A63"": ""0.6"", ""B01"": ""0.8"", ""B23"": ""0.125"", ""B25"": ""0.25"", ""B29"": ""0.5"", ""B32"": ""0.273"", ""B33"": ""0.111"", ""B41"": ""0.8"", ""B60"": ""0.625"", ""B62"": ""0.143"", ""B64"": ""0.5"", ""B65"": ""0.625"", ""C01"": ""0.5"", ""C07"": ""0.643"", ""C08"": ""0.462"", ""C09"": ""0.5"", ""C12"": ""0.476"", ""C23"": ""0.308"", ""E21"": ""0.75"", ""F01"": ""0.857"", ""F02"": ""0.667"", ""F04"": ""0.857"", ""F05"": ""0.75"", ""F16"": ""0.4"", ""F21"": ""0.5"", ""F24"": ""0.286"", ""G01"": ""0.481"", ""G02"": ""0.692"", ""G03"": ""0.6"", ""G05"": ""0.316"", ""G06"": ""0.713"", ""G07"": ""0.727"", ""G08"": ""0.267"", ""G09"": ""0.214"", ""G10"": ""0.6"", ""G11"": ""0.714"", ""G16"": ""0.353"", ""H01"": ""0.647"", ""H02"": ""0.667"", ""H03"": ""0.526"", ""H04"": ""0.746"", ""H05"": ""0.32"", ""H10"": ""0.0"", ""Y02"": ""0.375"", ""Y10"": ""0.0""}"
ft:classifier:ministral-3b-latest:1945b10d:20250711:ds1:2bb5027d,results/ft_test_ds1_results.jsonl,ft,ds1,0.095,0.018,0.207,0.471,0.287,0.036,0.117,0.052,0.212,0.0,0,"[""A01"", ""A47"", ""A61"", ""A63"", ""B01"", ""B23"", ""B25"", ""B29"", ""B32"", ""B33"", ""B41"", ""B60"", ""B62"", ""B64"", ""B65"", ""C01"", ""C07"", ""C08"", ""C09"", ""C12"", ""C23"", ""E21"", ""F01"", ""F02"", ""F04"", ""F05"", ""F16"", ""F21"", ""F24"", ""G01"", ""G02"", ""G03"", ""G05"", ""G06"", ""G07"", ""G08"", ""G09"", ""G10"", ""G11"", ""G16"", ""H01"", ""H02"", ""H03"", ""H04"", ""H05"", ""H10"", ""Y02"", ""Y10""]","{""A01"": ""0.0"", ""A47"": ""0.0"", ""A61"": ""0.276"", ""A63"": ""0.0"", ""B01"": ""0.0"", ""B23"": ""0.0"", ""B25"": ""0.0"", ""B29"": ""0.0"", ""B32"": ""0.0"", ""B33"": ""0.0"", ""B41"": ""0.0"", ""B60"": ""0.25"", ""B62"": ""0.0"", ""B64"": ""0.0"", ""B65"": ""0.0"", ""C01"": ""0.0"", ""C07"": ""0.0"", ""C08"": ""0.0"", ""C09"": ""0.0"", ""C12"": ""0.0"", ""C23"": ""0.0"", ""E21"": ""0.0"", ""F01"": ""0.0"", ""F02"": ""0.0"", ""F04"": ""0.0"", ""F05"": ""0.0"", ""F16"": ""0.0"", ""F21"": ""0.0"", ""F24"": ""0.0"", ""G01"": ""0.228"", ""G02"": ""0.0"", ""G03"": ""0.0"", ""G05"": ""0.0"", ""G06"": ""0.449"", ""G07"": ""0.0"", ""G08"": ""0.0"", ""G09"": ""0.0"", ""G10"": ""0.0"", ""G11"": ""0.0"", ""G16"": ""0.0"", ""H01"": ""0.277"", ""H02"": ""0.0"", ""H03"": ""0.0"", ""H04"": ""0.381"", ""H05"": ""0.0"", ""H10"": ""0.474"", ""Y02"": ""0.156"", ""Y10"": ""0.0""}"
ministral-3b-latest,results/batchinf_noft_3b_fewshot_results.jsonl,"no ft","few shot",0.089,0.026,0.094,0.137,0.111,0.031,0.08,0.026,0.074,0.0,0,"[""A01"", ""A47"", ""A61"", ""A63"", ""B01"", ""B23"", ""B25"", ""B29"", ""B32"", ""B33"", ""B41"", ""B60"", ""B62"", ""B64"", ""B65"", ""C01"", ""C07"", ""C08"", ""C09"", ""C12"", ""C23"", ""E21"", ""F01"", ""F02"", ""F04"", ""F05"", ""F16"", ""F21"", ""F24"", ""G01"", ""G02"", ""G03"", ""G05"", ""G06"", ""G07"", ""G08"", ""G09"", ""G10"", ""G11"", ""G16"", ""H01"", ""H02"", ""H03"", ""H04"", ""H05"", ""H10"", ""Y02"", ""Y10""]","{""A01"": ""0.087"", ""A47"": ""0.058"", ""A61"": ""0.0"", ""A63"": ""0.0"", ""B01"": ""0.0"", ""B23"": ""0.0"", ""B25"": ""0.0"", ""B29"": ""0.0"", ""B32"": ""0.0"", ""B33"": ""0.0"", ""B41"": ""0.0"", ""B60"": ""0.0"", ""B62"": ""0.0"", ""B64"": ""0.0"", ""B65"": ""0.0"", ""C01"": ""0.0"", ""C07"": ""0.0"", ""C08"": ""0.0"", ""C09"": ""0.0"", ""C12"": ""0.0"", ""C23"": ""0.0"", ""E21"": ""0.0"", ""F01"": ""0.0"", ""F02"": ""0.0"", ""F04"": ""0.0"", ""F05"": ""0.0"", ""F16"": ""0.0"", ""F21"": ""0.0"", ""F24"": ""0.0"", ""G01"": ""0.057"", ""G02"": ""0.095"", ""G03"": ""0.143"", ""G05"": ""0.0"", ""G06"": ""0.078"", ""G07"": ""0.0"", ""G08"": ""0.0"", ""G09"": ""0.0"", ""G10"": ""0.0"", ""G11"": ""0.133"", ""G16"": ""0.0"", ""H01"": ""0.239"", ""H02"": ""0.0"", ""H03"": ""0.0"", ""H04"": ""0.068"", ""H05"": ""0.0"", ""H10"": ""0.095"", ""Y02"": ""0.195"", ""Y10"": ""0.0""}"
ministral-3b-latest,results/batchinf_noft_3b_cot_results.jsonl,"no ft","cot",0.075,0.022,0.204,0.291,0.24,0.169,0.108,0.09,0.159,0.0,3,"[""A01"", ""A47"", ""A61"", ""A63"", ""B01"", ""B23"", ""B25"", ""B29"", ""B32"", ""B33"", ""B41"", ""B60"", ""B62"", ""B64"", ""B65"", ""C01"", ""C07"", ""C08"", ""C09"", ""C12"", ""C23"", ""E21"", ""F01"", ""F02"", ""F05"", ""F16"", ""F21"", ""F24"", ""G01"", ""G02"", ""G03"", ""G05"", ""G06"", ""G07"", ""G08"", ""G09"", ""G10"", ""G11"", ""G16"", ""H01"", ""H02"", ""H03"", ""H04"", ""H05"", ""H10"", ""Y02"", ""Y10""]","{""A01"": ""0.4"", ""A47"": ""0.0"", ""A61"": ""0.114"", ""A63"": ""0.0"", ""B01"": ""0.0"", ""B23"": ""0.0"", ""B25"": ""0.0"", ""B29"": ""0.25"", ""B32"": ""0.0"", ""B33"": ""0.0"", ""B41"": ""0.0"", ""B60"": ""0.125"", ""B62"": ""0.0"", ""B64"": ""0.0"", ""B65"": ""0.0"", ""C01"": ""0.0"", ""C07"": ""0.308"", ""C08"": ""0.25"", ""C09"": ""0.0"", ""C12"": ""0.222"", ""C23"": ""0.0"", ""E21"": ""0.0"", ""F01"": ""0.182"", ""F02"": ""0.0"", ""F04"": ""0.5"", ""F05"": ""0.0"", ""F16"": ""0.0"", ""F21"": ""0.0"", ""F24"": ""0.0"", ""G01"": ""0.109"", ""G02"": ""0.235"", ""G03"": ""0.0"", ""G05"": ""0.0"", ""G06"": ""0.471"", ""G07"": ""0.0"", ""G08"": ""0.0"", ""G09"": ""0.222"", ""G10"": ""0.0"", ""G11"": ""0.0"", ""G16"": ""0.0"", ""H01"": ""0.251"", ""H02"": ""0.25"", ""H03"": ""0.0"", ""H04"": ""0.188"", ""H05"": ""0.0"", ""H10"": ""0.0"", ""Y02"": ""0.228"", ""Y10"": ""0.0""}"

ministral-8b-latest,results/batchinf_noft_8b_cot_results.jsonl,"no ft", "cot",0.063,0.026,0.232,0.243,0.238,0.114,0.076,0.059,0.155,0.021,4,"[""A01"", ""A47"", ""A61"", ""A63"", ""B01"", ""B23"", ""B25"", ""B29"", ""B32"", ""B33"", ""B41"", ""B60"", ""B62"", ""B64"", ""B65"", ""C01"", ""C07"", ""C08"", ""C09"", ""C12"", ""C23"", ""E21"", ""F01"", ""F02"", ""F04"", ""F05"", ""F16"", ""F21"", ""F24"", ""G01"", ""G02"", ""G03"", ""G05"", ""G07"", ""G08"", ""G09"", ""G10"", ""G11"", ""G16"", ""H01"", ""H02"", ""H03"", ""H04"", ""H05"", ""H10"", ""Y02"", ""Y10""]","{""A01"": ""0.0"", ""A47"": ""0.0"", ""A61"": ""0.364"", ""A63"": ""0.0"", ""B01"": ""0.0"", ""B23"": ""0.0"", ""B25"": ""0.0"", ""B29"": ""0.0"", ""B32"": ""0.0"", ""B33"": ""0.0"", ""B41"": ""0.0"", ""B60"": ""0.0"", ""B62"": ""0.0"", ""B64"": ""0.0"", ""B65"": ""0.0"", ""C01"": ""0.0"", ""C07"": ""0.333"", ""C08"": ""0.2"", ""C09"": ""0.0"", ""C12"": ""0.0"", ""C23"": ""0.0"", ""E21"": ""0.0"", ""F01"": ""0.4"", ""F02"": ""0.0"", ""F04"": ""0.0"", ""F05"": ""0.0"", ""F16"": ""0.333"", ""F21"": ""0.0"", ""F24"": ""0.0"", ""G01"": ""0.0"", ""G02"": ""0.167"", ""G03"": ""0.0"", ""G05"": ""0.0"", ""G06"": ""0.51"", ""G07"": ""0.0"", ""G08"": ""0.0"", ""G09"": ""0.0"", ""G10"": ""0.0"", ""G11"": ""0.0"", ""G16"": ""0.0"", ""H01"": ""0.222"", ""H02"": ""0.0"", ""H03"": ""0.0"", ""H04"": ""0.037"", ""H05"": ""0.0"", ""H10"": ""0.0"", ""Y02"": ""0.25"", ""Y10"": ""0.0""}"
ministral-8b-latest,results/batchinf_noft_8b_fewshot_results.jsonl,"no ft","few shot",0.095,0.004,0.056,0.086,0.068,0.028,0.061,0.013,0.04,0.0,0,"[""A01"", ""A47"", ""A61"", ""A63"", ""B01"", ""B23"", ""B25"", ""B29"", ""B32"", ""B33"", ""B41"", ""B60"", ""B62"", ""B64"", ""B65"", ""C01"", ""C07"", ""C08"", ""C09"", ""C12"", ""C23"", ""E21"", ""F01"", ""F02"", ""F04"", ""F05"", ""F16"", ""F21"", ""F24"", ""G01"", ""G02"", ""G03"", ""G05"", ""G06"", ""G07"", ""G08"", ""G09"", ""G10"", ""G11"", ""G16"", ""H01"", ""H02"", ""H03"", ""H04"", ""H05"", ""H10"", ""Y02"", ""Y10""]","{""A01"": ""0.03"", ""A47"": ""0.04"", ""A61"": ""0.158"", ""A63"": ""0.0"", ""B01"": ""0.0"", ""B23"": ""0.0"", ""B25"": ""0.0"", ""B29"": ""0.0"", ""B32"": ""0.0"", ""B33"": ""0.0"", ""B41"": ""0.0"", ""B60"": ""0.0"", ""B62"": ""0.0"", ""B64"": ""0.0"", ""B65"": ""0.0"", ""C01"": ""0.0"", ""C07"": ""0.0"", ""C08"": ""0.0"", ""C09"": ""0.0"", ""C12"": ""0.0"", ""C23"": ""0.0"", ""E21"": ""0.0"", ""F01"": ""0.0"", ""F02"": ""0.0"", ""F04"": ""0.0"", ""F05"": ""0.0"", ""F16"": ""0.0"", ""F21"": ""0.0"", ""F24"": ""0.0"", ""G01"": ""0.071"", ""G02"": ""0.0"", ""G03"": ""0.0"", ""G05"": ""0.0"", ""G06"": ""0.072"", ""G07"": ""0.0"", ""G08"": ""0.0"", ""G09"": ""0.0"", ""G10"": ""0.0"", ""G11"": ""0.0"", ""G16"": ""0.0"", ""H01"": ""0.077"", ""H02"": ""0.0"", ""H03"": ""0.0"", ""H04"": ""0.0"", ""H05"": ""0.0"", ""H10"": ""0.0"", ""Y02"": ""0.187"", ""Y10"": ""0.0""}"
